cat_1,cat_2,cat_3
Women,Dresses,"Above knee, mini"
Women,Dresses,Knee-length
Women,Dresses,Mid-calf
Women,Dresses,Full-length
Women,Dresses,Asymmetrical hem
Women,Dresses,Other
Women,Tops & blouses,Blouse
Women,Tops & blouses,Button down shirt
Women,Tops & blouses,Halter
Women,Tops & blouses,Knit top
Women,Tops & blouses,Polo shirt
Women,Tops & blouses,"Tank, cami"
Women,Tops & blouses,T-shirts
Women,Tops & blouses,Tunic
Women,Tops & blouses,Turtleneck
Women,Tops & blouses,Wrap
Women,Tops & blouses,Other
Women,Sweaters,Cardigan
Women,Sweaters,Collared
Women,Sweaters,Cowl neck
Women,Sweaters,Crewneck
Women,Sweaters,Full zip
Women,Sweaters,Henley
Women,Sweaters,Hooded
Women,Sweaters,Poncho
Women,Sweaters,Scoop neck
Women,Sweaters,Shrug
Women,Sweaters,Sweatercoat
Women,Sweaters,Tunic
Women,Sweaters,"Turtleneck, mock"
Women,Sweaters,"Vest, sleeveless"
Women,Sweaters,V-neck
Women,Sweaters,Wrap
Women,Sweaters,Other
Women,Jeans,Boot cut
Women,Jeans,Boyfriend
Women,Jeans,"Capri, cropped"
Women,Jeans,Cargo
Women,Jeans,Flare
Women,Jeans,Leggings
Women,Jeans,Overalls
Women,Jeans,Relaxed
Women,Jeans,"Slim, skinny"
Women,Jeans,Straight leg
Women,Jeans,Wide leg
Women,Jeans,Other
Women,Pants,"Capris, cropped"
Women,Pants,Cargo
Women,Pants,Casual pants
Women,Pants,Corduroys
Women,Pants,Dress pants
Women,Pants,"Khakis, chinos"
Women,Pants,Leather
Women,Pants,Linen
Women,Pants,Other
Women,Skirts,A-line
Women,Skirts,Asymmetrical
Women,Skirts,Bubble
Women,Skirts,Full skirt
Women,Skirts,Maxi
Women,Skirts,Mini
Women,Skirts,Peasant
Women,Skirts,Pleated
Women,Skirts,"Straight, pencil"
Women,Skirts,Tiered
Women,Skirts,Wrap
Women,Skirts,Other
Women,Coats & jackets,Cape
Women,Coats & jackets,Fleece jacket
Women,Coats & jackets,Jean jacket
Women,Coats & jackets,Military
Women,Coats & jackets,Motorcycle
Women,Coats & jackets,Parka
Women,Coats & jackets,Peacoat
Women,Coats & jackets,Poncho
Women,Coats & jackets,Puffer
Women,Coats & jackets,Raincoat
Women,Coats & jackets,Trench
Women,Coats & jackets,Vest
Women,Coats & jackets,Windbreaker
Women,Coats & jackets,Wool
Women,Coats & jackets,Other
Women,Suits & blazers,Blazer
Women,Suits & blazers,Dress suit
Women,Suits & blazers,Pant suit
Women,Suits & blazers,Skirt suit
Women,Suits & blazers,Other
Women,Athletic apparel,Jackets
Women,Athletic apparel,Jerseys
Women,Athletic apparel,"Pants, tights, leggings"
Women,Athletic apparel,Shirts & tops
Women,Athletic apparel,Shorts
